0.487, 1.997
0.514, 1.977
0.529, 1.960
0.552, 1.943
0.570, 1.927
0.590, 1.909
0.606, 1.890
0.633, 1.871
0.652, 1.854
0.675, 1.836
0.696, 1.819
0.720, 1.799
0.748, 1.781
0.775, 1.762
0.798, 1.739
0.826, 1.721
0.866, 1.698
0.883, 1.679
0.913, 1.660
0.940, 1.642
0.965, 1.624
0.981, 1.604
1.014, 1.597
1.037, 1.576
1.067, 1.557
1.097, 1.540
1.127, 1.524
1.171, 1.498
1.198, 1.481
1.223, 1.465
1.251, 1.450
1.284, 1.433
1.309, 1.420
1.350, 1.399
1.383, 1.388
1.404, 1.369
1.441, 1.356
1.474, 1.343
1.514, 1.341
1.534, 1.360
1.559, 1.377
1.568, 1.394
1.608, 1.424
1.635, 1.440
1.659, 1.458
1.684, 1.477
1.721, 1.507
1.750, 1.530
1.776, 1.548
1.798, 1.562
1.824, 1.581
1.847, 1.599
1.878, 1.609
1.902, 1.639
1.927, 1.656
1.955, 1.674
1.986, 1.686
2.010, 1.703
2.035, 1.727
2.061, 1.743
2.089, 1.760
2.120, 1.777
2.148, 1.797
2.175, 1.813
2.200, 1.830
2.231, 1.845
2.260, 1.862
2.290, 1.878
2.319, 1.895
2.355, 1.914
2.380, 1.932
